Date,Rating,Title,Country,Review,Seat Type,Aircraft Type,Seat Layout,Date Flown,Type Of Traveller,Sleep Comfort,Sitting Comfort,Seat/bed Width,Seat/bed Length,Seat Privacy,Power Supply,Seat Storage,Recommended,Seat Legroom,Seat Recline,Seat Width,Aisle Space,Viewing Tv Screen,author_id
2024-05-16,3,"""One of the worst business class seats""",Mexico,"✅ Trip Verified |  One of the worst business class seats, tiny seat. The lay out of the aircraft is very cramped, the plane was very dirty, amenity kit awful, service in general, not so good.",Business Class,Boeing 787,2x3x2,May 2024,Leisure,1.0,2.0,1.0,3.0,4.0,1.0,5.0,no,,,,,,0
2024-05-07,1,"""left with a horrible back pain""",United Kingdom,"✅ Trip Verified |  BA doesn't seem to understand why its customers choose to fly with them over low-cost carriers like Ryanair, easyJet or Wizz Air and the keep racing to the bottom, despite never being cheap enough or comprehensive enough in terms of flights to certain destinations. They've installed the same appalling slimline seats easyJet and Wizz Air have, but managed to make them even more uncomfortable. They have no lumbar support, and also don't have headrests like BA's old Pinnacle seats. They also have no recline and despite being refurbished had no at seat charging either. My understanding was that seats upto row 12 should have the old Pinnacle seats, so I woke up early to check-in just as check-in opened on the app 24hrs before and was pleased to bag a seat in row 10 which should mean I have the old Pinnacle seat. Apparently not, at least not on BA Euroflyer their subsidiary at Gatwick, the whole plane had the new appalling slimline seats even in Business - I'd have been pretty appalled if I had paid extra to fly in that cabin and been left with that seat for 3hrs. They are probably ok for an 1 maybe 2hr flight max, but on a 3hr flight to Catania from Heathrow it was painful and we were left with a horrible back pain.",Economy Class,A320,3x3,April 2024,Couple Leisure,,,,,,1.0,1.0,no,1.0,1.0,1.0,3.0,,1
2023-05-08,1,"""economy seat masquerading as business class""",Australia,✅ Trip Verified |  Boeing 787-9 - not worth the money. The seats were extremely narrow so like lying in a coffin. When the seats were out (which is all the time on these long flights) you have to clamber over passengers to get to the toilet. The configuration of the cabin means that some one is always waking up someone else. This is an economy seat masquerading as a business class seat and is misleading and deceptive conduct because there is NO WAY you can get any rest if you book with British Airways.,Business Class,Boeing 787-9,2x3x2,May 2023,Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,,,,,,2
2023-04-12,1,"""No room at all""",United Kingdom,✅ Trip Verified |  Worst seat we have ever had to endure on a long haul flight. No room at all and not what we expected would not recommend this airline,Economy Class,A350,3-3-3,April 2023,Couple Leisure,,,,,,1.0,1.0,no,1.0,1.0,1.0,1.0,3.0,3
2022-12-20,4,"""seat arms are not retractable""",United Kingdom,"✅ Trip Verified |  Did research, premium economy, looks good with extra width seats more legroom and extra recline on the seats. We had a 20 hour red eye flight LHR to SYD with a refuelling and quick crew change in SIN. Looks deceive. We were seated in row E (middle 2 of 4) centre aisle. Great, until the seat in front reclined and we discovered we were trapped. The seat arms are not retractable, (that is where the tray table is located). The distance between the arm rest and the fully reclined seat in front is under 7 inches. To extract yourself you have to wake 3 passengers, 2 in front to lift their seat backs to an upright position and the passenger to your side to allow you to lift your legs up over the arm rests. I found it impossible to watch my screen due to it being so far off vertical, it was sending me dizzy looking at it. One other problem I discovered, because I was stressed at being uncomfortable I started getting hot to find the Boeing 777 does not have individual air conditioning cold air nozzles, once the temperature is set it can’t be individually cooled. On the positive side the food was good I did however miss the coffee pot after the meal.",Premium Economy,Boeing 777,3x4x3,November 2022,Couple Leisure,,,,,,4.0,4.0,no,4.0,4.0,5.0,1.0,1.0,4
2022-12-08,2,"""The most uncomfortable flight""",United Kingdom,"✅ Trip Verified |  The most uncomfortable flight I have experienced due to the metal boxes under the seat in front. Outbound chose a window seat on lower deck and had one metal box under my seat that made sitting straight very difficult, so on way home opted for an upper deck seat in a set of two with my husband so I could at least get up and stretch. There was two boxes this time, and had pins and needles in my legs for not only the entire flight but for several hours afterwards. As vegan flyers we are never wowed with food, but this one was the worst yet, plain rice and vegetables.",Economy Class,A380,2x3x2,December 2022,Couple Leisure,,,,,,2.0,3.0,no,1.0,2.0,2.0,2.0,2.0,5
2022-09-11,8,"""the flight was enjoyable""",United Kingdom,"Not Verified |  Was sat in the emergency exit row. Ample leg room but was a little tight with elbow room. Entertainment system was ok but would prefer a newer movie selection. Breakfast meal was a little heavy, but enjoyed the selection including fruit, yogurt and croissant. Service professional and courteous. Overall the flight was enjoyable",Economy Class,Boeing 777,3x3x3,September 2022,Solo Leisure,,,,,,3.0,4.0,yes,5.0,5.0,3.0,4.0,3.0,6
2022-04-14,8,"""The seat is quite comfortable""",United Kingdom,"Not Verified |  The seat is quite comfortable and has good legroom, there is good space on the window seats, the IFE is outdated though and you can't adjust the angle of the head rest. The window is very big and your receive some sort of service every 1-2 hrs.",Economy Class,A380,3x4x3 / 2x4x2,April 2022,Family Leisure,,,,,,5.0,5.0,yes,3.0,4.0,3.0,4.0,2.0,7
2020-04-25,8,"""privacy is pretty good""",India,"✅ Trip Verified |  This flight was as I had experienced with all other BA flights I've had. The seats are comfortable, the bedding provided is pretty good, the food on-board (I always order an Asian Vegetarian Meal) was brilliant and the cabin crew brilliant. I sat on one of the window seats (rear-facing) and the privacy you get with the privacy divider up is pretty good. I always select the window seat on the last seat of the cabin (3A on this flight) to prevent having to step over someone else. The only possible criticism I can find for the set is the lack of storage space and how inconveniently placed the one storage bin is. BA is pretty good otherwise.",Business Class,Boeing 787-8,2x3x2,March 2020,Leisure,5.0,5.0,4.0,5.0,5.0,5.0,2.0,yes,,,,,,8
2020-04-18,9,"""a pretty big improvement""",India,"✅ Trip Verified |  Was disappointed at first to see I was on the Boeing 777-200 but realised it was the updated club suite cabin so wasn't sad for long. The 1-2-1 configuration is a step up from their 2-3/4-2 configuration and the privacy on the seats is pretty good. The door isn't helpful and is more of a gimmick (could've been higher). The new IFE screens are way better than the older ones, they are more clear and bright and responsive than the old IFE screens. The seats on club suite are still fabric, which in my opinion, is better than leather and more comfortable. The seats now have convenient storage bins and power ports which is a very big improvement when compared to the old club world. The seats also have adjustable armrests which make sliding out of your seat during meal services easy. The service, in general, was fantastic and very similar to other BA flights I've had. All in all club suite is a pretty big improvement over the old business cabin.",Business Class,Boeing 777-200,1x2x1,March 2020,Leisure,4.0,5.0,4.0,5.0,5.0,5.0,5.0,yes,,,,,,9
